Episode,Side,Opponent,Result,Reward,Steps,P1_WinRate,P2_WinRate,vsRandom_WinRate,Loss,Epsilon,LR,MaxQ,AvgQ
1510,Red (P1),Random,WIN ,2.8400,49,66.7,50.0,83.3,0.00000,0.3188,1.00e-06,0.00,0.00
1520,Red (P1),Self-Play,LOSS,0.8300,44,63.6,44.4,77.8,0.00000,0.3176,1.00e-06,0.00,0.00
1530,Red (P1),Random,WIN ,2.7100,117,64.7,53.8,86.7,0.00000,0.3164,1.00e-06,0.00,0.00
1540,Red (P1),Random,WIN ,2.6800,38,54.5,50.0,80.0,0.00000,0.3152,1.00e-06,0.00,0.00
1550,Blk (P2),Pool: gen8_mirror.pth,DRAW,0.9800,263,55.6,43.5,74.1,0.00000,0.3140,1.00e-06,0.00,0.00
1560,Blk (P2),Random,WIN ,2.6900,123,57.6,48.1,77.1,0.00000,0.3128,1.00e-06,0.00,0.00
1570,Red (P1),Self-Play,DRAW,0.7000,196,53.5,48.1,71.8,0.00000,0.3116,1.00e-06,0.00,0.00
1580,Red (P1),Random,WIN ,2.7700,107,54.9,51.7,71.7,0.00000,0.3104,1.00e-06,0.00,0.00
1590,Blk (P2),Self-Play,LOSS,-0.2000,41,53.6,50.0,71.4,0.00000,0.3092,1.00e-06,0.00,0.00
1600,Red (P1),Self-Play,DRAW,0.7300,229,54.1,46.2,70.4,0.00000,0.3080,1.00e-06,0.00,0.00
1610,Red (P1),Self-Play,LOSS,0.1800,48,54.5,45.5,71.2,0.02295,0.3068,1.00e-06,0.00,0.00
1620,Blk (P2),Random,WIN ,2.6600,89,55.6,43.8,71.9,0.01992,0.3056,1.00e-06,0.00,0.00
